treatment,beta,se,CI_low,CI_high,label,sample,category,subcategory
lockdown,-302.08235175271784,5.432910520008814,-312.7313286030484,-291.4333749023873,travel,diff_All,travel,
stimulus,203.42220651804482,4.882779511637209,193.85153426176615,212.9928787743235,travel,diff_All,travel,
lockdown,-158.76478890865195,4.039410652109972,-166.68270790298934,-150.84686991431457,travel,diff_Republican,travel,
stimulus,151.65306320866824,4.402311385125316,143.02379821500784,160.28232820232864,travel,diff_Republican,travel,
lockdown,-435.03420247091924,9.479190172501223,-453.6160315613771,-416.4523733804614,travel,diff_Democrat,travel,
stimulus,247.48397462608236,8.189099183523943,231.43107995218026,263.53686929998446,travel,diff_Democrat,travel,
lockdown,-47.86995871380291,0.9445217233641776,-49.721303389864886,-46.01861403774093,travel,perch_All,travel,
stimulus,37.487117425106284,1.1964626674142764,35.14194659988189,39.83228825033068,travel,perch_All,travel,
lockdown,-40.5173350696441,1.5390214140293903,-43.5340738804085,-37.500596258879696,travel,perch_Republican,travel,
stimulus,47.44634715854437,2.063390068507204,43.40175827585022,51.49093604123852,travel,perch_Republican,travel,
lockdown,-54.69079003221478,1.1246819260407275,-56.89547703084067,-52.48610303358889,travel,perch_Democrat,travel,
stimulus,29.010614956696294,1.3384896232438228,26.38680585846556,31.634424054927027,travel,perch_Democrat,travel,
lockdown,-150.94117590798106,7.012377193479655,-164.6878346162016,-137.19451719976053,travel: airline,diff_All,travel,airline
stimulus,87.66208414190164,9.818503232267073,68.41445823195532,106.90971005184797,travel: airline,diff_All,travel,airline
lockdown,-74.07081996349478,9.875374815083624,-93.43670523979583,-54.704934687193735,travel: airline,diff_Republican,travel,airline
stimulus,67.06029236429289,16.851439587910942,34.014149619255456,100.10643510933033,travel: airline,diff_Republican,travel,airline
lockdown,-171.9310131123473,8.373245127961528,-188.34718774571616,-155.51483847897845,travel: airline,diff_Democrat,travel,airline
stimulus,92.22852257018067,11.384466112246928,69.90869543622769,114.54834970413366,travel: airline,diff_Democrat,travel,airline
lockdown,-88.77677669020237,4.531791236109768,-97.66063814557755,-79.89291523482719,travel: airline,perch_All,travel,airline
stimulus,61.480027178958814,7.874539808479181,46.04323474113718,76.91681961678044,travel: airline,perch_All,travel,airline
lockdown,-58.85043387623664,11.064087393513672,-80.54741765273951,-37.15345009973377,travel: airline,perch_Republican,travel,airline
stimulus,58.669013100344195,19.748806587389318,19.941052908789544,97.39697329189885,travel: airline,perch_Republican,travel,airline
lockdown,-96.94831506893486,4.898145288494897,-106.55137901925787,-87.34525111861186,travel: airline,perch_Democrat,travel,airline
stimulus,62.10309544649519,8.566473193910628,45.308087323097986,78.89810356989238,travel: airline,perch_Democrat,travel,airline
lockdown,-6.398824790031549,2.3490006467493405,-11.003354119465055,-1.7942954605980432,travel: car rental,diff_All,travel,car rental
stimulus,41.533287357161484,3.5092738677964204,34.65438143959856,48.41219327472441,travel: car rental,diff_All,travel,car rental
lockdown,18.654425263607912,4.279912410778902,10.263441543890384,27.04540898332544,travel: car rental,diff_Republican,travel,car rental
stimulus,38.11103636502948,7.019321137536655,24.34930394260821,51.872768787450745,travel: car rental,diff_Republican,travel,car rental
lockdown,-13.76937060213251,2.746805611539953,-19.154157318625263,-8.384583885639756,travel: car rental,diff_Democrat,travel,car rental
stimulus,42.29781081339009,3.995971176304803,34.464183119004176,50.13143850777601,travel: car rental,diff_Democrat,travel,car rental
lockdown,20.012688586932214,7.265534038361559,5.770732280990362,34.25464489287407,travel: car rental,perch_All,travel,car rental
stimulus,103.87218441019529,11.316521191725135,81.68945159291714,126.05491722747344,travel: car rental,perch_All,travel,car rental
lockdown,108.57726235936858,17.68690073203623,73.90120316689394,143.25332155184321,travel: car rental,perch_Republican,travel,car rental
stimulus,80.4154119657506,31.80676630031983,18.05664557354949,142.7741783579517,travel: car rental,perch_Republican,travel,car rental
lockdown,-6.042583560248187,7.780325548517566,-21.294989295708515,9.209822175212139,travel: car rental,perch_Democrat,travel,car rental
stimulus,109.11237654759985,11.883697406724618,85.81579681523412,132.4089562799656,travel: car rental,perch_Democrat,travel,car rental
lockdown,-94.17101340040973,3.522894154506017,-101.07646834024308,-87.26555846057639,travel: hotel,diff_All,travel,hotel
stimulus,112.88799619693089,4.632816933970587,103.80690911938946,121.96908327447231,travel: hotel,diff_All,travel,hotel
lockdown,-66.71757496730999,4.080842130710152,-74.71745299896244,-58.71769693565753,travel: hotel,diff_Republican,travel,hotel
stimulus,92.91872124925736,5.348708326453514,82.43338198153472,103.40406051698,travel: hotel,diff_Republican,travel,hotel
lockdown,-113.67585610069528,5.250149193322736,-123.96817093830234,-103.38354126308823,travel: hotel,diff_Democrat,travel,hotel
stimulus,125.57533753988898,6.757750904142501,112.3275426033151,138.82313247646286,travel: hotel,diff_Democrat,travel,hotel
lockdown,-30.892035233665823,1.9462803966975701,-34.70706656592582,-27.077003901405824,travel: hotel,perch_All,travel,hotel
stimulus,44.339193038600705,2.7595701850107086,38.92997926999371,49.7484068072077,travel: hotel,perch_All,travel,hotel
lockdown,-25.21373908750401,3.0361321898735616,-31.165620201497422,-19.261857973510597,travel: hotel,perch_Republican,travel,hotel
stimulus,47.68348870042712,4.537893195971989,38.78763070698788,56.579346693866356,travel: hotel,perch_Republican,travel,hotel
lockdown,-34.92629394433395,2.53373156878738,-39.89338384210492,-29.95920404656298,travel: hotel,perch_Democrat,travel,hotel
stimulus,42.21441781643825,3.471749997580255,35.40845046259567,49.02038517028083,travel: hotel,perch_Democrat,travel,hotel
lockdown,-165.49790530045445,2.7259530695237024,-170.84097210740535,-160.15483849350355,non-food shopping,diff_All,non-food shopping,
stimulus,189.9973851416095,3.190600632407869,183.74357522688717,196.25119505633182,non-food shopping,diff_All,non-food shopping,
lockdown,-109.32811364152703,2.484502208438103,-114.19807309829906,-104.45815418475499,non-food shopping,diff_Republican,non-food shopping,
stimulus,151.58372303514238,3.2385439857725364,145.2357399840023,157.93170608628247,non-food shopping,diff_Republican,non-food shopping,
